Tom's here.	Tom er her.
It's too hot to exercise today.	Det er for varmt i dag til at træne.
Tom is a gardener.	Tom er gartner.
Are you in a good mood?	Er du i godt humør?
What country are you from?	Hvilket land er du fra?
Tom is Mary's grandson.	Tom er Marys barnebarn.
When will you be back?	Hvornår kommer du tilbage?
We painted the walls white.	Vi malede væggene hvide.
I'll be there tomorrow.	Jeg vil være der i morgen.
What are you doing up there?	Hvad laver du deroppe?
Look at the sky.	Kig på himlen.
I'm being treated like a child.	Jeg bliver altid behandlet som et barn.
I wonder whether or not Tom will sign the contract.	Jeg gad vide om Tom vil underskrive kontrakten eller ej.
I think everybody's hungry.	Jeg tror alle er sultne.
The cat sleeps on the table.	Katten sover på bordet.
He knows nothing about electronics.	Han ved intet om elektronik.
I will give you this bicycle as a birthday present.	Jeg vil give dig denne cykel som en fødselsdagsgave.
I can't stand the noise.	Jeg kan ikke holde støjen ud.
Everything I have is yours.	Alt jeg har er dit.
Tom is a wimp.	Tom er en slapsvans.
How often do you change your razor blade?	Hvor ofte skifter du barberblade?
Is that chocolate?	Er det chokolade?
Carry on with your work.	Fortsæt med dit arbejde.
Tom has a prosthetic leg.	Tom har en benprotese.
The nurse has taken my blood pressure.	Sygeplejersken har taget mit blodtryk.
Don't treat me like a child.	Lad være med at behandle mig som et barn.
I read my horoscope today.	Jeg har læst mit horoskop i dag.
What are we having for dinner tonight?	Hvad skal vi have til middag i aften?
You can have this book for nothing.	Du kan få denne bog gratis.
All dogs need lots of love.	Alle hunde har brug for masser af kærlighed.
Tom must've had a reason.	Tom må have haft en grund.
You guys are totally clueless.	I er komplet uvidende.
The lovers kissed.	De elskende kyssede hinanden.
What did you try to do?	Hvad prøvede du at gøre?
He just texted me.	Han har lige sendt mig en sms.
Tom is a former athlete.	Tom er eksatlet.
The apple was eaten by me.	Æblet blev spist af mig.
Tom lives in the woods without electricity and running water.	Tom bor i skoven, uden strøm og rindende vand.
Our train is delayed.	Vores tog er forsinket.
Tom wedged the claw of the crowbar under the nailhead and pulled out the nail.	Tom kilede kobenets klo ind under sømhovedet og trak sømmet ud.
What are you interested in?	Hvad er du interesseret i?
Tom went to the beach last week.	Tom tog til stranden i sidste uge.
The snow is melted.	Sneen er smeltet.
I make €100 a day.	Jeg tjener hundrede euro om dagen.
I have no idea who she is.	Jeg aner ikke hvem hun er.
I'm going shopping.	Jeg går på indkøb.
Tom didn't take a shower.	Tom tog ikke et brusebad.
Tom burned all the pictures he had of his ex-girlfriend.	Tom har brændt alle de billeder han havde af sin ekskæreste.
Our school is near the station.	Vores skole ligger nær ved stationen.
Do you have anything cheaper?	Har I noget der er billigere?
Tom has some nosy neighbors.	Tom har nogle nysgerrige naboer.
I haven't done that.	Det har jeg ikke gjort.
We're in trouble.	Vi har problemer.
They arrested her.	De arresterede hende.
She's too old for you.	Hun er for gammel til dig.
Tom looks young for his age.	Tom ser ung ud af sin alder.
Did Tom call?	Har Tom ringet?
Barking dogs don't always bite.	Hunde der gør, bider ikke altid.
I have great news for you.	Jeg har meget gode nyheder til dig.
It was just a kiss.	Det var bare et kys.
Tom wants us to mount the TV on the wall.	Tom vil have os til at montere fjernsynet på væggen.
Tom hurried over to Mary's house.	Tom skyndte sig hen til Mary.
Something went wrong.	Noget gik galt.
Let's play volleyball.	Lad os spille volleyball.
You are very arrogant.	Du er meget arrogant.
I pretended to be working.	Jeg lod som om jeg arbejdede.
Tom didn't seem happy.	Tom så ikke ud til at være glad.
He was covered with bruises.	Han havde sår over det hele.
The snow will soon disappear.	Sneen forsvinder snart.
Eleven o'clock is good for me.	Klokken elleve er OK for mig.
I'm proud of you.	Jeg er stolt af dig.
Have you all gone mad?	Er I alle sammen gået fra forstanden?
The printer doesn't work.	Printeren virker ikke.
That happened three years ago.	Det skete for tre år siden.
Act like a man.	Opfør dig som en mand.
He lives all by himself in the country.	Han bor helt alene ude på landet.
She put on a sweater so she wouldn't catch a cold.	Hun tog en sweater på, for at hun ikke skulle blive forkølet.
The planets revolve around the sun.	Planeterne kredser om solen.
That's the reason.	Det er grunden.
It was not an easy decision.	Det var ikke en let beslutning.
You're lying now.	Nu lyver du!
She is eight months pregnant.	Hun er otte måneder henne.
Are you on Facebook?	Er du på Facebook?
We got married on October 20th.	Vi blev gift den 20. oktober.
At last, the baby fell asleep.	Endelig faldt spædbarnet i søvn.
I trained my dog to bring me the newspaper in the morning.	Jeg har trænet min hund til at hente avisen om morgenen.
She remained single all her life.	Hun forblev ugift hele livet.
It snowed a lot last year.	Det sneede meget sidste år.
Don't complain.	Klag ikke.
Don't disturb me while I'm studying.	Forstyr mig ikke mens jeg studerer.
All that glitters is not gold.	Alt som glimrer, er ikke guld.
I used to coach football.	Jeg var fodboldtræner.
I'm drinking coffee.	Jeg drikker kaffe.
Would you please turn down the TV?	Kunne du skrue ned for fjernsynet?
Tom, put these gloves on.	Tom, tag de her handsker på.
She has small feet.	Hun har små fødder.
They were sitting on the sofa in our living room.	De sad i sofaen i vores stue.
Tell the truth.	Sig sandheden!
His house is near the river.	Hans hus er nær floden.
I can't go back to Australia. I'm wanted by the police there.	Jeg kan ikke tage tilbage til Australien. Der er jeg eftersøgt af politiet.
Who did you want to dance with?	Hvem ønskede du at danse med?
Make sure that the dog does not escape.	Sørg for at hunden ikke slipper fri.
Deal with it.	Affind dig med det.
It's human nature.	Det er den menneskelige natur.
Who invented the telephone?	Hvem har opfundet telefonen?
You're treading on thin ice.	Du er ude på tynd is.
"I think I understood everything," Tom said, "but I'm not absolutely sure."	"Jeg tror jeg har forstået alt," sagde Tom, "men jeg er ikke helt sikker."
Tom is waiting for Mary to call.	Tom venter på at Mary ringer.
It seems I have a slight cold.	Det ser ud til at jeg har en let forkølelse.
Tom doesn't smoke or drink.	Tom hverken ryger eller drikker.
Do you like my new hat?	Kan du lide min nye hat?
Tom lied.	Tom løj.
Have you ever been married?	Har du nogensinde været gift?
We arrested Tom.	Vi arresterede Tom.
Who's the new head coach?	Hvem er den nye cheftræner?
This is the house where I was born.	Dette er huset hvor jeg blev født.
Where is the vodka?	Hvor er vodkaen?
One language is never enough.	Ét sprog er aldrig nok.
Tom was elected mayor in 2013.	Tom blev i 2013 valgt til borgmester.
There are about seventy hens in the henhouse, but only one rooster.	Der er omkring halvfjerds høns i hønsehuset, men kun én hane.
It's raining cats and dogs.	Det styrter ned.
Fossil fuels are the main causes of global warming.	Fossile brændstoffer er hovedårsagen til den globale opvarmning.
The train has already left.	Toget er allerede kørt.
Who do you think you are?	Hvem tror du, du er?
I have a first-aid kit in my car.	Jeg har en førstehjælpskasse i min bil.
I think you can help us.	Jeg tror I kan hjælpe os.
Where's the coffee?	Hvor er kaffen?
I quit smoking half a year ago.	Jeg holdt op med at ryge for et halvt år siden.
Is he still here?	Er han stadig her?
You're a very lucky woman.	Du er en meget heldig kvinde.
Do you mind if I ask why?	Har du noget imod, at jeg spørger hvorfor?
What does that have to do with it?	Hvad har det med det at gøre?
Please stop singing that song.	Hold venligst op med at synge den sang.
I've been all over the world.	Jeg har været over hele verden.
I changed clothes.	Jeg klædte mig om.
These are Tom's glasses, not mine.	De her er Toms briller, ikke mine.
His way of thinking is very childish.	Hans måde at tænke på er meget barnlig.
Every weekend, Tom goes to his parents' house.	Hver weekend besøger Tom sine forældre.
I hope Tom feels better today.	Jeg håber Tom har det bedre i dag.
Tom is more intelligent than Mary thinks he is.	Tom er mere begavet end Mary tror han er.
We sometimes make mistakes.	Nogle gange laver vi fejl.
Tom's crying.	Tom græder.
I sold it for ten dollars.	Jeg solgte den for ti dollar.
I have a black dog named Tiki.	Jeg har en sort hund som hedder Tiki.
I wasn't able to go to his birthday party.	Jeg kunne ikke komme til hans fødselsdagsfest.
The ship sails for Honolulu tomorrow.	Skibet sejler mod Honolulu i morgen.
Tom pried open the door with a crowbar.	Tom brækkede døren op med et brækjern.
Did Tom find it?	Har Tom fundet det?
I couldn't have said it any better myself.	Jeg kunne ikke have sagt det bedre.
I never liked going to school.	Jeg har aldrig brudt mig om at gå i skole.
Many rich people live in this neighborhood.	Der bor mange rige mennesker i det her kvarter.
What else did you do together?	Hvad ellers lavede I sammen?
I wonder whether Tom misses me.	Jeg kunne godt lide at vide om Tom savner mig.
The driver advised us to fasten our seat belts.	Føreren rådede os til at spænde vores sikkerhedsseler.
We live in a house.	Vi bor i et hus.
No news is good news.	Intet nyt er godt nyt.
Please make a milkshake for me.	Vær så venlig at lave en milkshake til mig.
We could talk about Tom.	Vi kunne tale om Tom.
Are they speaking French?	Taler de fransk?
Why is life so difficult?	Hvorfor er livet så vanskeligt?
See you soon!	Vi ses!
It's too big.	Den er for stor.
She has many dogs.	Hun har mange hunde.
You're a good man.	Du er en god mand.
I want an answer from you as soon as possible.	Jeg vil gerne have et svar fra dig så hurtigt som muligt.
I just got up.	Jeg er lige stået op.
I am counting on you.	Jeg regner med dig.
Facebook is blocked in China.	Facebook er blokeret i Kina.
Tom wears a wig.	Tom går med paryk.
Why is everyone so tense?	Hvorfor er alle så anspændte?
I hope you slept well.	Jeg håber du har sovet godt.
It would surprise me if Tom does that.	Jeg ville blive overrasket hvis Tom gjorde det.
Is tomorrow a holiday?	Er det helligdag i morgen?
Here are a few interesting facts.	Her er et par interessante fakta.
Don't play games with me.	Driv ikke gæk med mig!
Who wrote the letter?	Hvem skrev brevet?
Where is the most beautiful place in the world?	Hvor er det smukkeste sted i verden?
Tom bought new laces for his shoes.	Tom har købt nye snørebånd til sine sko.
I'd like to send a fax.	Jeg vil gerne sende en fax.
Tom is addicted to heroin.	Tom er afhængig af heroin.
Tom might be right.	Tom kan have ret.
Tom is approximately six feet tall.	Tom er cirka en meter og firs.
How far is it to the airport?	Hvor langt er der til lufthavnen?
She's the most beautiful woman in the world.	Hun er den smukkeste kvinde i verden.
I assure you I've considered that possibility.	Jeg kan forsikre dig om, at jeg har overvejet den mulighed.
I sent it to you two days ago.	Jeg sendte det til Dem for to dage siden.
The shop closes at seven.	Butikken lukker klokken syv.
Tom panicked.	Der gik panik i Tom.
Tom and Mary are carpenters.	Tom og Mary er tømrere.
Tom is the only suspect.	Tom er den eneste der er mistænkt.
A dog's nose is very sensitive.	En hunds næse er meget følsom.
Everything looked OK.	Alt så ud til at være i orden.
I got up early yesterday.	I går stod jeg tidlig op.
Mary's father left her all of his money.	Marys far har efterladt hende alle sine penge.
It was obvious that Tom was trying to get Mary's attention.	Det var tydeligt at Tom forsøgte at få Marys opmærksomhed.
Tom is like one of the family.	Tom er som en af ​​familien.
The students stood waiting for a bus.	De studerende stod og ventede på en bus.
There were almost no cars in the parking lot.	Der var næsten ingen biler på parkeringspladsen.
Take a chance.	Tag chancen!
Organic vegetables are popular because they're safe and tasty.	Økologiske grønsager er populære fordi de er sikre og velsmagende.
We saw Tom.	Vi så Tom.
I didn't steal it. You can check my pockets.	Jeg har ikke stjålet det. Du må gerne tjekke min lommer.
He rested for a while.	Han hvilede i et stykke tid.
Tom broke his new smartphone.	Tom ødelagde sin nye smarttelefon.
Both of you are right.	I har begge ret.
I knew where Tom was going.	Jeg vidste hvor Tom skulle hen.
My mother takes a nap every afternoon.	Min mor tager en lur hver eftermiddag.
Where do they come from?	Hvor kommer de fra?
Take a look at that.	Tag et kig på det der.
A man came up to Tom in the street and started talking to him, but Tom had no idea who he was.	En mand kom på gaden hen til Tom og begyndte at tale til ham, men Tom havde ingen anelse om hvem han var.
Tom is too young.	Tom er for ung.
Switch on the light. I can't see anything.	Tænd lyset. Jeg kan ikke se noget.
There'll be a problem.	Der kommer til, at være et problem.
You seemed surprised.	I virkede overrasket.
Tom took off his gas mask.	Tom tog sin gasmaske af.
I would have liked to come with you, but I didn't have time.	Jeg ville gerne have taget med dig, men jeg havde ikke tid.
Why didn't you tell me Tom was here?	Hvorfor sagde du ikke til mig at Tom var her?
I knew I wasn't crazy.	Jeg vidste jeg ikke var skør.
Didn't you use to have a cat?	Havde du ikke en kat?
Is it true that Tom won't come to our party?	Passer det at Tom ikke kommer til vores fest?
You know this isn't the way I want things to be.	Ser du, det er ikke den måde jeg ønsker tingene skal være på.
Tom had to swallow his pride and admit that he needed help.	Tom måtte sluge sin stolthed og indrømme at han havde brug for hjælp.
Today is Saturday.	I dag er det lørdag.
Mary is my girlfriend.	Mary er min kæreste.
She's not as shy as she used to be.	Hun er ikke så genert som hun plejede at være.
Tom bought three kilograms of apples.	Tom købte tre kilo æbler.
You can't put toothpaste back in the tube.	Man kan ikke stoppe tandpasta tilbage i tuben.
Do you have a steady girlfriend?	Har du fast kæreste?
I helped them yesterday.	Jeg hjalp dem i går.
You can't always make everyone happy.	Man kan ikke altid gøre alle lykkelige.
Mary was in the bathroom, fixing her hair.	Mary var på badeværelset og ordnede sit hår.
There's the rub.	Der ligger hunden begravet!
What don't we know?	Hvad ved vi ikke?
I barely managed to catch the train.	Jeg nåede lige akkurat toget.
Was anybody else absent?	Var nogen anden fraværende?
Would you like a cookie?	Hvad med en småkage?
We import tea from India.	Vi importerer te fra Indien.
Can you loan me thirty dollars for a cab?	Kan du låne mig tredive dollars til en taxi?
Tom has two brothers. One lives in Boston and the other one lives in Chicago.	Tom har to brødre. Den ene bor i Boston og den anden bor i Chicago.
A long time ago, there was a bridge there.	For lang tid siden var der en bro der.
My vacation went by quickly.	Min ferie gik hurtigt.
Tom doesn't remember the last time he saw Mary.	Tom kan ikke huske hvornår han sidst så Mary.
I usually do the dishes.	Jeg plejer at tage mig af opvasken.
The Atari 2600 was popular in the early eighties.	Atari 2600 var populær i begyndelsen af ​​firserne.
I like playing the piano.	Jeg kan lide at spille piano.
Tom sat next to me.	Tom sad ved siden af ​​mig.
Which bus goes to the station?	Hvilken bus kører til stationen?
Do you still have a key to Tom's apartment?	Har du stadig en nøgle til Toms lejlighed?
Keep your shoes on.	Behold skoene på!
This movie has French subtitles.	Denne film har franske undertekster.
Everything went horribly wrong.	Alt gik grueligt galt.
We have enough food.	Vi har mad nok.
What would your friends think if they saw you now?	Hvad ville dine venner tænke hvis de så dig nu?
I will make a new suit for you.	Jeg vil lave et nyt jakkesæt til dig.
Stop. That tickles.	Hold op! Det kildrer!
Are you paying?	Betaler du?
This is just a hypothesis.	Dette er blot en hypotese.
Who did it?	Hvem har gjort det?
Put on your socks.	Tag dine sokker på.
You're very arrogant.	Du er meget arrogant.
As far as I know, the novel is not translated into Japanese.	Så vidt jeg ved, er romanen ikke oversat til japansk.
This is my friend.	Dette er min ven.
Is this your beer?	Er den her din øl?
I've just become a grandfather.	Jeg er lige blevet bedstefar.
Tom can speak French.	Tom kan tale fransk.
Tom claimed he killed Mary in self-defense.	Tom påstod at han dræbte Mary i selvforsvar.
Shut up!	Hold mund!
I became very ill.	Jeg blev meget syg.
They saw us yesterday.	De så os i går.
I'm tired and I want to go to bed.	Jeg er træt og vil i seng.
She drank a cup of milk.	Hun drak en kop mælk.
We didn't need to hurry.	Vi behøvede ikke at skynde os.
Tom's password was easy to guess.	Toms adgangskode var let at gætte.
I would like a tourist visa.	Jeg ville gerne have et turistvisum.
I'll set the table.	Jeg dækker bord.
The grapefruit tastes very sour.	Grapefrugten smager meget surt.
Something must've happened.	Der må være sket noget.
Tom, get us out of here!	Tom, få os ud herfra!
Let's hope you're right.	Lad os håbe at I har ret.
I didn't have to do anything.	Jeg behøvede ikke at gøre noget.
He helped me to get changed.	Han har hjulpet mig med at klæde om.
I'm hanging out with my friends.	Jeg hænger ud med mine venner.
I like oranges better than apples.	Jeg kan bedre lide appelsiner end æbler.
I don't know what to believe anymore.	Jeg ved ikke længere hvad jeg skal tro.
You look gorgeous in that dress.	Du ser bedårende ud i den kjole.
I spent most of the day in bed.	Jeg tilbragte næsten hele dagen i sengen.
Who betrayed us?	Hvem har forrådt os?
It's all Greek to me.	Det er det rene volapyk.
Tom sat down on a log.	Tom satte sig på en træstamme.
The jury found that Samsung had infringed upon Apple's patents.	Juryen fandt at Samsung havde krænket Apples patenter.
He is a little over forty.	Han er lidt over fyrre år gammel.
She gave the children two apples each.	Hun gav børnene to æbler hver.
I'm drinking water.	Jeg drikker vand.
Let's go by bus.	Lad os tage bussen.
I've forgotten his name.	Jeg har glemt hans navn.
She's not my type.	Hun er ikke min type.
They say that I'm an old woman.	De siger at jeg er en gammel kone.
Don't treat me like a dog.	Behandl mig ikke som en hund.
Tom met Mary in Australia.	Tom mødte Mary i Australien.
Wait a bit.	Vent lidt.
Barley and wheat grow in the fields around the village.	Der gror byg og hvede på markerne rundt om landsbyen.
Tom knew it was a lie.	Tom vidste at det var en løgn.
What's that thing you have in your hand?	Hvad er det du har i din hånd?
My favorite singer is Kylie Minogue.	Min favoritsangerinde er Kylie Minogue.
You know you can trust me.	I ved at I kan stole på mig.
I still hate you.	Jeg hader dig stadigvæk.
Tom is busy now.	Tom har travlt nu.
I don't feel like going out this morning.	Her til morgen har jeg ikke lyst til at gå ud.
This word is still in use.	Det ord bliver stadig brugt.
I want a boyfriend.	Jeg vil have en kæreste.
Didn't I ask you not to help?	Bad jeg dig ikke om at hjælpe?
I think that's enough for today.	Jeg tror at det er nok for i dag.
Hi.	Hej.
Do you want to impress me?	Vil du imponere mig?
Don't worry about it!	Vær ikke bekymret.
He was not invited.	Han var ikke inviteret.
What's Tom's older sister's name?	Hvad er Toms storesøsters navn?
I suppose you'll need a crowbar to open that crate.	Jeg tror du skal bruge et brækjern til at åbne den kasse.
I just needed some air.	Jeg havde blot brug for lidt luft.
Tom said that no words could adequately describe his feelings of devastation and grief on losing his best friend.	Tom sagde at ingen ord tilstrækkeligt kunne beskrive hans følelse af fortvivlelse og sorg over at miste sin bedste ven.
He's away on business.	Han er væk på forretningsrejse.
I really appreciate your company.	Jeg sætter virkelig pris på dit selskab.
May I speak to you outside for a minute?	Må jeg tale et kort øjeblik med dig udenfor?
Don't you forget that.	Det må I ikke glemme!
I knew there would be something to eat.	Jeg vidste at der ville være noget at spise.
You're a beautiful girl.	Du er en smuk pige.
Tom was sentenced to death.	Tom blev dømt til døden.
Never ever do it like this again.	Gør aldrig sådan igen.
Do you like movies?	Kan du lide film?
This country is poor in natural resources.	Dette land er fattig på naturressourcer.
I often read.	Jeg læser ofte.
Yesterday we painted the town red.	I går malede vi byen rød.
Mary has flowers in her hair.	Mary har blomster i sit hår.
You got off easy.	Det slap du billigt fra.
The ship is now in the harbor.	Skibet er nu i havnen.
The noise doesn't bother us.	Støjen generer os ikke.
She baked her husband an apple pie.	Hun bagte en æblekage til sin mand.
How long do you think it'll take?	Hvor lang tid tror du det vil tage?
You could've killed somebody.	Du kunne have slået nogen ihjel.
Our task is to rebuild the wall.	Vores opgave er at genopbygge muren.
I need a stamp.	Jeg har brug for et frimærke.
The walls were painted white.	Væggene var malet hvide.
I saw him.	Jeg så ham.
How much is this going to cost me?	Hvor meget kommer dette til at koste mig?
The cat is eating.	Katten spiser.
I want to be a lumberjack.	Jeg vil gerne være skovhugger.
This is boring.	Det her er kedeligt.
I don't eat apple cores.	Jeg spiser ikke æbleskrog.
We're out of milk.	Vi har ikke mere mælk.
Can you open it?	Kan du åbne den?
I'm a woman.	Jeg er en kvinde.
He's afraid of the sea.	Han frygter havet.
"Tom, hurry up." "I'm coming!"	"Tom, skynd dig." "Jeg kommer!"
These butterflies are rare in our country.	Disse sommerfugle er sjældne i vores land.
How deep is the lake?	Hvor dyb er søen?
These people are amateurs.	Disse mennesker er amatører.
Where's the nearest shopping mall?	Hvor er det nærmeste indkøbscenter?
We were poor, but we were happy.	Vi var fattige, men vi var lykkelige.
What's the matter?	Hvad er der i vejen?
Tom and Mary usually go to school by bicycle.	Tom og Mary cykler normalt i skole.
Tom sold his house.	Tom har solgt sit hus.
She has convulsions.	Hun har kramper.
He has a big truck.	Han har en stor lastbil.
I could have stopped Tom, but I didn't.	Jeg kunne have stoppet Tom, men jeg gjorde det ikke.
I bought two pairs of trousers.	Jeg har købt to par bukser.
Give me back the TV remote.	Giv mig fjernbetjeningen igen!
Summer is almost over.	Sommeren lakker mod enden.
Are you behind all of this?	Står du bag alt dette?
Who's Tom?	Hvem er Tom?
Everyone clapped at the end of the concert.	Alle klappede ved slutningen af koncerten.
This program is broadcast every other week.	Dette program sendes hver anden uge.
How can I get to the airport?	Hvordan kommer man til lufthavnen?
This medicine will take the pain away.	Dette lægemiddel vil fjerne smerterne.
You may quote me.	Du kan citere mig.
You three are under arrest.	I tre er under arrest.
You never smile.	Du smiler aldrig.
My mother baked a cake for my birthday.	Min mor bagte en kage til min fødselsdag.
Is it money you need?	Er det penge du har brug for?
That's my car.	Det er min bil.
Where is the kitchen?	Hvor er køkkenet?
Wild animals live in the forest.	I skoven lever der vilde dyr.
There's too much money in these accounts.	Der er for mange penge på disse konti.
Tom entered the empty room and immediately noticed a lit cigarette in the ashtray.	Tom trådte ind i det tomme værelse og bemærkede straks en tændt cigaret i askebægeret.
It happened yesterday.	Det skete i går.
Montana borders Canada.	Montana grænser op til Canada.
I learned from my mistakes.	Jeg lærte af mine fejltagelser.
Occasionally, things don't go as planned.	Af og til går tingene ikke som planlagt.
Let's drive to the lake.	Lad os køre hen til søen!
Can you do that?	Kan du gøre det?
The boy who's swimming over there with Mary is my younger brother.	Drengen der svømmer derovre sammen med Mary, er min lillebror.
Are there more sheep in Wales or in New Zealand?	Er der flest får i Wales eller i New Zealand?
Come at ten o'clock sharp.	Kom præcis klokken ti.
She is happiest when she is at home.	Hun er gladest når hun er hjemme.
Let's go someplace else.	Lad os gå et andet sted hen.
Why's Tom still here?	Hvorfor er Tom der stadig?
The Jacksons lived in Boston before they moved here.	Familien Jackson boede i Boston, inden de flyttede hertil.
The door's locked.	Døren er låst.
Keep your room clean.	Hold jeres rum rent.
Every sentence in that book is important.	Enhver sætning i den bog er vigtig.
Beauty is subjective.	Skønhed er subjektivt.
They lived in Spain for several years.	De boede i Spanien i flere år.
I met him yesterday.	Jeg mødte ham i går.
He'll be a good husband.	Han vil blive en god ægtemand.
May I ask a question?	Må jeg stille et spørgsmål?
Tom has bought a house which has six rooms.	Tom har købt et hus der har seks værelser.
She failed the examination and I was greatly disappointed.	Hun dumpede eksamen, og jeg blev meget skuffet.
Where is the evidence?	Hvor er beviserne?
An expensive car is a status symbol.	En dyr bil er et statussymbol.
Do you have to work tomorrow?	Skal du arbejde i morgen?
Who did he see?	Hvem så han?
Do you know what caused the problem?	Ved du, hvad der forårsagede problemet?
I can't go back to Australia. I'm wanted by the police there.	Jeg kan ikke tage tilbage til Australien. Dér er jeg eftersøgt af politiet.
Listen up.	Hør efter!
When did you see the film?	Hvornår så du filmen?
There's something wrong.	Der er noget galt.
This flag is very pretty.	Dette flag er meget smukt.
Do you know how to pronounce this word?	Ved du hvordan man skal udtale dette ord?
I can fly.	Jeg kan flyve.
If you have something to say, say it.	Hvis du har noget at sige, så sig det!
I believe you've been had.	Jeg tror at du er blevet snydt.
All of the apples that fall are eaten by the pigs.	Alle de æbler der falder, bliver spist af grisene.
We're just trying to buy some time.	Vi prøver bare at vinde noget tid.
I told Tom that I didn't know the answer.	Jeg fortalte Tom at jeg ikke kendte svaret.
She has to pay for the book.	Hun skulle betale for bogen.
It took him three months to learn to ride a bicycle.	Det tog ham tre måneder at lære at cykle.
My TV has quit working.	Mit tv er holdt op med at virke.
Is he a doctor?	Er han læge?
I hear voices in my head.	Jeg hører stemmer i mit hoved.
I thought you were a decent young woman.	Jeg troede du var en anstændig pige.
That's going to take forever.	Det kommer til at tage en evighed.
I have a dog and a cat.	Jeg har en hund og en kat.
That's totally understandable.	Det er helt forståeligt.
Yesterday, I ate an apple.	I går spiste jeg et æble.
Tom and Mary are busy.	Tom og Mary har travlt.
Today's a bit too hot for my liking.	Det er lidt for varmt i dag efter min smag.
Do you know Tom Jackson?	Kender du Tom Jackson?
The dog jumped over a chair.	Hunden hoppede over en stol.
I'm very lazy.	Jeg er meget doven.
You can't read French, can you?	Du kan ikke læse fransk, kan du vel?
Who planted the tree?	Hvem har plantet træet?
Tom felt excluded.	Tom følte sig udelukket.
May I open the window?	Må jeg åbne vinduet?
Tom accused Mary of stealing.	Tom beskyldte Mary for at stjæle.
Tom doesn't speak much French.	Tom taler ikke meget fransk.
Tom is obviously crazy about Mary.	Tom er tydeligvis vild med Mary.
Yesterday I heard a beautiful song.	I går hørte jeg en smuk sang.
It's my horse.	Det er min hest.
I don't think I'm going to marry Tom.	Jeg tror ikke jeg skal giftes med Tom.
To make a long story short, we buried the hatchet.	For at gøre en lang historie kort, så begravede vi stridsøksen.
Were you at the concert?	Var I med til koncerten?
Tom's alone.	Tom er alene.
She is skipping rope.	Hun sjipper.
There used to be a store right here.	Der plejede at ligge en butik lige her.
Mars has two moons.	Mars har to måner.
They plan to get married tomorrow.	De planlægger at blive gift i morgen.
Is his name really Tom?	Er hans navn virkelig Tom?
I've got a frog in my throat.	Jeg har en tudse i halsen.
Their apples aren't as good as ours.	Deres æbler er ikke så gode som vores.
Tom doesn't live here anymore.	Tom bor ikke længere her.
I'm not your mother.	Jeg er ikke din mor.
Where were you on the night of October 20th?	Hvor var du natten til den 21. oktober?
Is it in there?	Er det derinde?
My watch has stopped.	Mit ur er gået i stå.
My mother baked a cake for my birthday.	Min mor har bagt en kage til min fødselsdag.
I know you're in there somewhere.	Jeg ved, du er derinde et sted.
I just saw Tom and Mary together.	Jeg har lige set Tom og Mary sammen.
Tom is a cold-blooded murderer.	Tom er en koldblodig morder.
Tom is not interested in politics.	Tom har ikke interesse for politik.
Do you remember Tom?	Kan du huske Tom?
I wouldn't mind a beer right now.	Jeg ville ikke have noget imod en øl lige nu.
Do we need a world language?	Har vi brug for et verdenssprog?
Are you drunk?	Er du fuld?
I prefer a hotel by the airport.	Jeg foretrækker et hotel tæt på lufthavnen.
I don't support his ideas.	Jeg støtter ikke hans ideer.
Nothing happens by chance.	Intet sker tilfældigt.
She loves him.	Hun elsker ham.
Let's hope it works.	Lad os håbe det virker.
Tom replied to Mary's email.	Tom svarede på Marys e-mail.
Spiders aren't insects.	Edderkopper er ikke insekter.
I'd like to order a pizza.	Jeg vil gerne bestille en pizza.
They quarreled.	De skændtes.
Tom told me I should get myself a girlfriend.	Tom sagde til mig at jeg skulle få mig en kæreste.
It was confidential.	Det var fortroligt.
I want to change the world.	Jeg vil forandre verden.
I wish I could have spoken French.	Jeg ville ønske jeg kunne have talt fransk.
She lost her handbag.	Hun mistede sin håndtaske.
They went fishing yesterday.	De tog ud for at fiske i går.
What's behind the wall?	Hvad er der bag væggen?
Do you have a headache?	Har du hovedpine?
Your story is boring.	Din fortælling er kedelig.
Life is one big party.	Livet er en stor fest.
He loves soccer.	Han elsker fodbold.
What did you tell Tom?	Hvad sagde I til Tom?
Tom just called.	Tom har lige haft ringet.
Tom said he'd rather not ask Mary to do that.	Tom sagde at han helst ikke ville bede Mary om at gøre det.
Get Tom.	Hent Tom.
I love apple cider.	Jeg elsker cider.
Tom has decided to quit smoking.	Tom har besluttet at holde op med at ryge.
He can barely read.	Han kan næsten ikke læse.
I'm in desperate need of help.	Jeg har desperat brug for hjælp.
Tom listened to the sound of the waves.	Tom lyttede til lyden af ​​bølgerne.
Tom went too far.	Tom gik over stregen.
Hello!	Hej.
Brush your teeth every day.	Børst dine tænder hver dag.
I don't know what's going to happen to you.	Jeg ved ikke hvad der vil ske dig.
I hope you'll agree.	Jeg håber du er enig.
Tom was convinced, but I wasn't.	Tom var overbevist, men det var jeg ikke.
You should get rid of these weeds.	Du burde få fjernet det ukrudt.
Can you read French?	Kan du læse fransk?
He made up his mind to be a pilot.	Han besluttede sig for at blive pilot.
When does the post office open?	Hvornår åbner posthuset?
There is a car in front of the building.	Der står en bil foran bygningen.
I don't like dogs.	Jeg bryder mig ikke om hunde.
I'm not your father.	Jeg er ikke din far.
